Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Cyprus,CYP,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7090873,0.3958959,0.4053342,0.3179887,0.5638796,0.6425719,0.6930853,0.8007249,0.7902511,0.7665588,0.7840771,0.7933209,0.7163623,0.7031147,0.6831374,0.7672285,0.6738103,0.6561041,0.7399069,0.4538116,0.4791734,0.3811357
Czechia,CZE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6071485,0.9775056,0.9056461,0.7067447,1.0432999,1.0736057,1.0971281,1.1254325,1.0713838,1.0992694,1.1297603,1.1228486,1.1188359,1.1241036,1.100576,1.0617374,1.0199948,1.0436452,1.0363667,0.9082209,0.9968819,0.9957469
Denmark,DNK,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.4284228,1.3888443,1.2107071,1.0083333,1.1357606,1.0918283,1.2633404,1.2312618,1.2068064,1.1703202,1.155094,1.0433934,1.0203721,1.1307994,1.0198991,0.9320841,0.9149035,1.0018359,0.8984987,0.8682976,0.8409469,0.8416401
Djibouti,DJI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5423309,-0.3636812,-0.7653435,-0.269924,-0.712164399999999,-0.1371762,-0.0004149,0.3064746,0.5407182,0.3584284,0.1177782,0.1173704,-0.2955231,-0.3843552,-0.493180099999999,-0.7074408,-0.7552217,-0.296717499999999,-0.3842768,-0.4591955,-0.5273642,-0.4774121
Dominica,DMA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.4335935,0.4357713,0.5176707,0.8561786,0.8478312,0.9726788,0.8544313,0.9762833,0.982245,1.098788,1.0934992,1.092941,1.0912351,1.1473784,1.1120789,0.9362782,1.1093885,1.112031,0.9867091,1.2385037,1.2367945,1.2397365
Dominican Republic,DOM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.132575,-0.1599129,-0.5957007,-0.4531782,-0.3912303,-0.1540857,-0.0800328,-0.0283211,-0.0590302,-0.0570436999999999,-0.0597805999999999,0.0313944,-0.0097174,0.0549569,0.1170524,0.1555826,0.0918722,0.0030759,0.0515231,0.2361204,0.3502987,0.4914554
Ecuador,ECU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.7547319,-0.851597899999999,-1.072906,-0.91787,-0.8556619,-0.7680718,-0.673285599999999,-0.559667999999999,-0.5221507,-0.6609602,-0.7429017,-0.660745199999999,-0.2633528,-0.0167487,-0.1822625,-0.1672879,-0.1273984,-0.0672488,-0.209832,-0.1513823,-0.1983083,-0.2336288
"Egypt, Arab Rep.",EGY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.4457866,-0.6231042,-0.8097073,-0.880790899999999,-0.6948124,-0.676554,-0.4507884,-0.431604999999999,-0.570860599999999,-1.0007352,-1.68884559999999,-1.58945659999999,-1.8070331,-1.5091298,-1.5178167,-1.5399732,-1.4711477,-1.26200959999999,-1.19692089999999,-1.1172787,-1.066781,-0.9542974
El Salvador,SLV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0182977,-0.0263441999999999,-0.312913,-0.1469142,-0.0697981,-0.209795999999999,-0.00960999999999999,0.056355,-0.1546506,0.0373531,0.0229262,0.1962335,-0.1174817,-0.1004167,-0.1411131,-0.2511021,-0.3360373,-0.420064599999999,-0.2138062,-0.1497936,-0.222007099999999,-0.0998814
Equatorial Guinea,GNQ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.00462679999999999,-0.5037416,-0.2622451,-0.4790063,-0.640655699999999,0.1001595,0.1039401,-0.0665767,0.2160624,0.1280299,-0.0605353999999999,-0.0777002,-0.1980612,-0.5596512,-0.5106021,-0.404997699999999,-0.3950453,-0.3808707,-0.3400881,-0.380621,-0.3214725,-0.3481526
Eritrea,ERI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.7330086,-0.7069428,-0.9830762,-0.8200001,-0.927151699999999,-0.8838642,-0.9933451,-0.7912203,-0.666870899999999,-0.8910469,-0.8949954,-0.9125405,-0.983509699999999,-0.651784799999999,-0.7893504,-0.7487988,-0.834184199999999,-0.9260353,-0.9764301,-1.0705711,-1.02707899999999,-1.0696541
