country_name,country_code,year,stunting_pct,gdp_per_capita,undernourishment_pct,water_access_pct,female_edu_pct,political_stability
Timor-Leste,TLS,2000,55.0,1117.56432347244,,,,0.2388936
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2000,33.8755349487921,2320.80541483788,,60.9164750059653,,
Tonga,TON,2000,13.7,3866.68574867282,,29.2249863485658,102.80802154541,
South Asia (IDA & IBRD),TSA,2000,50.3565648940641,758.133172484319,,41.0414002827735,40.5729293823242,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2000,43.2114717945421,1197.83286103765,,17.856326781895,22.6744499206543,
Trinidad and Tobago,TTO,2000,5.3,10023.0206669207,,,,-0.052021
Tunisia,TUN,2000,12.5,2864.54703666618,,76.7637415102755,74.7923202514648,0.2330163
Turkiye,TUR,2000,17.4,6326.25746472488,,,63.1940116882324,-0.527191899999999
Tuvalu,TUV,2000,12.6,3056.55101983122,,7.68577182773907,,
Tanzania,TZA,2000,47.6,555.348083496094,,1.28395845752752,,-1.01262799999999
Uganda,UGA,2000,44.0,509.19755319016,,2.61116927210968,,-1.62262509999999
Ukraine,UKR,2000,22.6,1409.22265625,,66.3453372731475,98.193229675293,-0.4992464
Upper middle income,UMC,2000,21.71,3401.7581851933,,69.9241272764751,66.2597122192383,
Uruguay,URY,2000,16.3,11096.3309569487,,,102.627563476562,0.8244769
United States,USA,2000,3.1,48379.7551705781,,,,1.0044581
Uzbekistan,UZB,2000,29.0,1269.72137546219,,53.7674851686603,83.9072113037109,-1.20219759999999
St. Vincent and the Grenadines,VCT,2000,,5067.96739467376,,,91.9645767211914,0.9579328
"Venezuela, RB",VEN,2000,17.6,3740.0195496928,,,64.4638214111328,-0.7443814
British Virgin Islands,VGB,2000,,,,,98.7146530151367,
Virgin Islands (U.S.),VIR,2000,,,,97.3646820026095,,
Viet Nam,VNM,2000,41.1,1212.19657794381,,45.6576486828155,,0.2924713
Vanuatu,VUT,2000,24.0,2841.73909435642,,17.3668036964981,36.3795394897461,0.9027244
World,WLD,2000,33.07,7858.90796621259,,61.2482581100601,56.860279083252,
Samoa,WSM,2000,6.0,2945.37217923198,,60.1597324731382,81.926628112793,1.1101278
Kosovo,XKX,2000,,,,,,
"Yemen, Rep.",YEM,2000,55.3,2114.67265566851,,,,-1.6559503
South Africa,ZAF,2000,26.6,4700.87555500704,,63.2477289873236,78.8097229003906,-0.3188879
